               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11912,            0.046125,                   0,           0.0083543,             0.10526,            0.003298,          0.00054001,             0.11721,             0.02652,                   0,               4e-05,               4e-05,             0.09964
                   1,             0.12036,             0.05321,                   0,            0.033337,            0.013158,            0.004104,          0.00053481,             0.11531,            0.027123,                   0,           8.998e-05,           8.998e-05,             0.09919
                   2,              0.1174,            0.036684,                   0,           0.0071899,            0.092105,           0.0032389,          0.00045864,             0.11248,            0.028054,                   0,          0.00013988,          0.00013988,             0.09874
                   3,              0.1188,            0.048874,                   0,            0.016922,            0.026316,           0.0046467,          0.00082752,             0.11048,            0.028714,                   0,          0.00018962,          0.00018962,             0.09829
                   4,             0.11711,            0.045356,                   0,              0.0212,            0.052632,           0.0056938,           0.0009725,             0.10945,            0.029108,                   0,          0.00023915,          0.00023915,            0.097839
                   5,             0.11639,            0.052961,                   0,            0.019315,            0.052632,            0.006968,           0.0010084,             0.10794,            0.029648,                   0,          0.00028839,          0.00028839,            0.097388
                   6,              0.1158,            0.053967,                   0,             0.01871,            0.052632,           0.0075019,           0.0012612,             0.10661,            0.030117,                   0,          0.00033729,          0.00033729,            0.096937
                   7,             0.11206,            0.051481,                   0,            0.023647,            0.026316,           0.0078969,           0.0014472,              0.1045,            0.030897,                   0,          0.00038577,          0.00038577,            0.096486
                   8,             0.11353,            0.056195,                   0,            0.034387,            0.039474,           0.0091779,           0.0015931,             0.10288,            0.031508,                   0,          0.00043378,          0.00043378,            0.096034
                   9,             0.11111,            0.047249,                   0,            0.017623,             0.11842,           0.0098545,           0.0019664,             0.10092,            0.032233,                   0,          0.00048124,          0.00048124,            0.095581
                  10,             0.11018,            0.048561,                   0,            0.023817,             0.14474,            0.011521,           0.0020895,            0.099782,            0.032696,                   0,          0.00052811,          0.00052811,            0.095128
                  11,             0.10716,            0.047359,                   0,            0.027204,             0.19737,            0.013164,           0.0024488,            0.097633,            0.033552,                   0,           0.0005743,           0.0005743,            0.094674
                  12,             0.10679,            0.069687,                   0,            0.039091,            0.078947,            0.015251,           0.0031346,            0.096267,            0.033988,                   0,          0.00061978,          0.00061978,             0.09422
                  13,             0.10782,            0.063071,                   0,            0.068083,             0.13158,            0.031643,           0.0061636,            0.094292,            0.034563,                   0,          0.00066446,          0.00066446,            0.093764
                  14,             0.10606,            0.057264,                   0,             0.13908,            0.078947,            0.036001,           0.0096167,            0.093334,            0.034843,                   0,          0.00070831,          0.00070831,            0.093308
                  15,             0.10279,            0.072833,                   0,             0.18594,             0.10526,            0.051176,            0.017253,            0.091971,            0.035099,                   0,          0.00075125,          0.00075125,            0.092851
                  16,              0.1003,            0.052077,                   0,             0.29919,             0.11842,            0.073443,            0.026452,            0.091242,            0.035283,                   0,          0.00079324,          0.00079324,            0.092393
                  17,             0.10088,             0.06424,                   0,              0.3701,             0.13143,            0.096582,            0.035696,            0.090309,             0.03534,                   0,          0.00083423,          0.00083423,            0.091934
