               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11736,             0.06348,                   0,           0.0052974,            0.065789,           0.0027136,          0.00051088,             0.11192,            0.045274,                   0,               3e-05,               3e-05,             0.09973
                   1,             0.10585,             0.06677,                   0,           0.0050014,            0.078947,           0.0029774,          0.00058192,             0.11093,            0.045357,                   0,          6.9938e-05,          6.9938e-05,             0.09937
                   2,             0.11508,            0.054584,                   0,           0.0047996,             0.28947,           0.0029394,          0.00051715,              0.1092,            0.045836,                   0,          0.00010961,          0.00010961,             0.09901
                   3,             0.11375,            0.064427,                   0,            0.005018,             0.34211,           0.0031714,          0.00061482,             0.10704,            0.046048,                   0,           0.0001488,           0.0001488,            0.098649
                   4,             0.11504,            0.066937,                   0,           0.0060275,            0.039474,           0.0035249,          0.00072641,             0.10442,            0.046189,                   0,          0.00018731,          0.00018731,            0.098287
                   5,             0.11485,            0.066532,                   0,           0.0072342,             0.10526,           0.0040636,          0.00085637,              0.1015,            0.046292,                   0,          0.00022493,          0.00022493,            0.097925
                   6,             0.11166,            0.056732,                   0,             0.07318,            0.013158,           0.0056387,           0.0011232,            0.098197,            0.046677,                   0,          0.00026147,          0.00026147,            0.097561
                   7,             0.11041,            0.074044,                   0,            0.012314,             0.10526,           0.0059665,           0.0010571,             0.09458,            0.047113,                   0,          0.00029672,          0.00029672,            0.097197
                   8,             0.10755,            0.084114,                   0,            0.075458,            0.026316,            0.025573,           0.0076775,            0.091464,             0.04747,                   0,          0.00033052,          0.00033052,            0.096831
                   9,             0.10423,            0.058833,                   0,            0.049944,            0.052632,            0.028532,            0.013974,            0.088827,            0.047715,                   0,          0.00036268,          0.00036268,            0.096463
                  10,             0.10294,            0.080922,                   0,            0.083126,            0.052632,            0.033754,            0.016688,             0.08762,            0.047908,                   0,          0.00039304,          0.00039304,            0.096093
                  11,             0.10233,            0.063051,                   0,            0.098339,            0.052632,            0.036721,            0.015457,            0.086984,            0.047902,                   0,          0.00042146,          0.00042146,            0.095721
                  12,              0.1012,            0.073816,                   0,            0.064207,            0.078947,            0.033547,            0.012069,            0.086046,            0.048096,                   0,           0.0004478,           0.0004478,            0.095348
                  13,            0.096047,            0.070997,                   0,            0.071362,             0.11842,            0.039365,            0.013128,            0.085056,            0.048286,                   0,          0.00047193,          0.00047193,            0.094972
                  14,            0.099428,            0.061576,                   0,            0.088748,             0.10526,            0.042033,            0.013687,            0.083915,            0.048439,                   0,          0.00049374,          0.00049374,            0.094594
                  15,            0.093597,            0.076353,                   0,              0.1008,             0.11842,            0.046611,            0.014194,            0.082779,            0.048539,                   0,          0.00051314,          0.00051314,            0.094213
                  16,            0.099581,             0.11112,                   0,             0.11951,             0.12862,            0.061345,             0.02198,            0.082174,            0.048466,                   0,          0.00053005,          0.00053005,             0.09383
                  17,            0.092076,             0.06862,                   0,             0.13159,             0.14474,             0.06683,             0.02268,            0.081495,            0.048394,                   0,          0.00054442,          0.00054442,            0.093444
                  18,            0.091516,            0.088634,                   0,             0.14259,             0.14474,            0.075441,            0.022642,            0.081089,            0.048139,                   0,           0.0005562,           0.0005562,            0.093056
                  19,             0.09251,            0.079639,                   0,             0.11631,             0.22368,            0.084164,            0.024655,            0.080596,            0.047898,                   0,          0.00056537,          0.00056537,            0.092665
                  20,            0.085904,            0.056703,                   0,             0.13737,             0.30263,             0.10769,            0.031268,             0.07969,              0.0479,                   0,          0.00057192,          0.00057192,            0.092272
                  21,            0.091779,            0.087546,                   0,             0.13141,             0.32895,             0.11573,            0.031729,            0.078978,            0.047758,                   0,          0.00057586,          0.00057586,            0.091876
                  22,            0.092978,            0.093563,                   0,             0.24404,             0.17105,             0.12716,             0.03379,            0.078391,            0.047565,                   0,          0.00057723,          0.00057723,            0.091477
                  23,            0.092123,            0.086831,                   0,             0.17155,             0.34211,             0.13778,            0.033752,            0.077963,            0.047344,                   0,          0.00057608,          0.00057608,            0.091076
                  24,            0.088835,            0.084028,                   0,             0.16753,             0.40789,             0.15892,            0.037148,             0.07794,            0.047086,                   0,          0.00057247,          0.00057247,            0.090672
                  25,            0.089118,            0.084294,                   0,             0.18605,             0.42105,              0.1667,            0.040107,            0.077546,            0.046813,                   0,           0.0005665,           0.0005665,            0.090266
                  26,            0.088547,            0.064872,                   0,             0.20171,             0.42105,             0.23004,            0.048435,            0.077126,            0.046717,                   0,          0.00055827,          0.00055827,            0.089858
                  27,            0.081768,            0.066548,                   0,             0.19561,             0.47368,             0.22269,            0.051731,            0.076414,            0.046558,                   0,           0.0005479,           0.0005479,            0.089448
                  28,            0.084681,             0.10164,                   0,             0.18977,             0.51316,             0.23182,            0.052562,            0.075681,            0.046314,                   0,          0.00053553,          0.00053553,            0.089036
                  29,            0.081858,            0.078224,                   0,             0.19323,             0.55263,              0.2135,            0.055625,            0.074636,            0.046052,                   0,          0.00052133,          0.00052133,            0.088621
                  30,            0.085772,            0.080658,                   0,             0.29507,             0.31579,             0.23837,            0.054974,             0.07391,            0.045811,                   0,          0.00050546,          0.00050546,            0.088205
                  31,             0.07466,             0.07108,                   0,             0.32386,             0.30252,             0.25141,            0.063111,            0.072858,            0.045762,                   0,          0.00048812,          0.00048812,            0.087788
                  32,            0.084575,            0.081908,                   0,             0.29698,             0.32895,             0.25508,            0.065972,            0.072226,            0.045698,                   0,           0.0004695,           0.0004695,             0.08737
                  33,            0.080616,            0.084987,                   0,             0.32353,             0.32895,             0.26222,            0.073234,            0.071412,             0.04547,                   0,          0.00044983,          0.00044983,             0.08695
                  34,            0.079408,             0.07865,                   0,             0.30966,             0.35526,             0.28013,            0.077977,            0.071561,             0.04531,                   0,          0.00042934,          0.00042934,            0.086529
                  35,            0.079478,            0.068893,                   0,             0.38084,             0.32895,             0.29078,             0.08053,            0.071335,            0.045204,                   0,          0.00040826,          0.00040826,            0.086108
                  36,            0.080011,            0.070974,                   0,             0.41443,             0.39474,             0.33195,            0.089232,            0.071061,            0.044968,                   0,          0.00038684,          0.00038684,            0.085687
                  37,            0.080696,            0.077606,                   0,             0.45909,             0.40789,             0.34674,            0.085123,            0.070733,             0.04477,                   0,          0.00036535,          0.00036535,            0.085265
                  38,                0.08,            0.081729,                   0,             0.46023,             0.39474,             0.35345,            0.087919,            0.070426,            0.044645,                   0,          0.00034404,          0.00034404,            0.084844
                  39,            0.078358,             0.07189,                   0,             0.49716,             0.38158,             0.37622,            0.096948,            0.069611,            0.044405,                   0,           0.0003232,           0.0003232,            0.084423
                  40,            0.080548,            0.070466,                   0,             0.47082,             0.43316,             0.38014,             0.10454,            0.069102,            0.044272,                   0,          0.00030309,          0.00030309,            0.084003
                  41,            0.080837,            0.091737,                   0,             0.50636,             0.44737,             0.39499,             0.11361,            0.068795,            0.044177,                   0,          0.00028399,          0.00028399,            0.083584
                  42,            0.073992,             0.07525,                   0,             0.55417,             0.43421,             0.40605,             0.12079,             0.06816,            0.043866,                   0,          0.00026618,          0.00026618,            0.083166
                  43,            0.075764,            0.065838,                   0,             0.56707,             0.43421,             0.42204,             0.13144,            0.067615,            0.043783,                   0,          0.00024995,          0.00024995,             0.08275
                  44,            0.079934,            0.070107,                   0,             0.61167,             0.42105,             0.42941,             0.13792,            0.067249,            0.043672,                   0,          0.00023557,          0.00023557,            0.082336
                  45,            0.077178,            0.077703,                   0,             0.62136,             0.42105,             0.44533,             0.14497,            0.066776,            0.043431,                   0,           0.0002233,           0.0002233,            0.081923
                  46,            0.075649,            0.068031,                   0,             0.62696,             0.42019,             0.45981,              0.1476,            0.066454,            0.043351,                   0,          0.00021344,          0.00021344,            0.081513
                  47,            0.077802,             0.08816,                   0,             0.50339,                 0.5,             0.45578,             0.14847,            0.066277,            0.043259,                   0,          0.00020622,          0.00020622,            0.081106
                  48,            0.075595,            0.071097,                   0,             0.59822,             0.43105,               0.467,              0.1544,             0.06588,            0.043041,                   0,          0.00020192,          0.00020192,            0.080702
                  49,            0.077058,             0.07192,                   0,             0.58449,             0.44737,             0.47356,             0.15361,            0.065675,            0.042939,                   0,          0.00020077,          0.00020077,            0.080301
